Organization Name,Topic area,URL,Main Web Page,Mission Statement,Policy Isssue Resources,Campaign and Advocacy,Public Facing Advocacy Writing,Newsletters,Annual reports,Speeches,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/press-releases/ice-should-not-use-private-prison-youngstown-hold-immigrants-says-aclu-ohio,,,,,1,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/press-releases/aclu-statement-about-youngstown-private-prison-losing-contract-house-federal-inmates,,,,,1,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/press-releases/federal-government-should-stop-housing-immigrants-youngstown-prison-facility-generate,,,,,1,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/press-releases/aclu-calls-state-legislators-reject-misguided-workers-compensation-bill,,,,,1,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/press-releases/supreme-court-rejects-much-arizonas-controversial-immigration-law,,,,,1,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/press-releases/conforme-se-aproxima-el-fin-de-semana-feriado-la-aclu-de-ohio-difunde-alerta,,,,,1,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/press-releases/holiday-weekend-approaches-aclu-ohio-issues-alert-state-residents-traveling-arizona,,,,,1,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/press-releases/aclu-urges-general-assembly-reject-bill-would-allow-local-police-enforce-federal,,,,,1,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/press-releases/house-passage-english-only-bill-disappoints-aclu,,,,,1,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/press-releases/internship-program-discriminates-against-ohioans,,,,,1,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/press-releases/aclu-requests-immigration-enforcement-documents,,,,,1,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/press-releases/proposed-initiative-will-prove-harmful-communities-taxpayers,,,,,1,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/press-releases/immigration-plan-will-harm-many,,,,,1,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/press-releases/aclu-ohio-sues-ice-seeking-release-immigrants-especially-vulnerable-covid-19-two-ohio,,,,,1,,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/publications/fall-2011-newsletter,,,,,,1,,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/impact-report,,,,,,,1,,,,,,,,,,,,,,,,
ACLU-Ohio,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.acluohio.org/en/publications/2011-year-review-annual-report,,,,,,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Justice in Motion,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.justiceinmotion.org/,1,,,,,,,,,,,,,,,,,,,,,,
Justice in Motion,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.justiceinmotion.org/our-story,,1,,,,,,,,,,,,,,,,,,,,,
Justice in Motion,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.justiceinmotion.org/legal-action,,,1,,,,,,,,,,,,,,,,,,,,
Justice in Motion,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.justiceinmotion.org/_files/ugd/64f95e_e68769f6140440a7ac415a21e7f3e34e.pdf,,,1,,,,,,,,,,,,,,,,,,,,
Justice in Motion,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.justiceinmotion.org/defender-network,,,1,,,,,,,,,,,,,,,,,,,,
Justice in Motion,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.justiceinmotion.org/policy-advocacy,,,1,,,,,,,,,,,,,,,,,,,,
Justice in Motion,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.justiceinmotion.org/family-reunification,,,1,,,,,,,,,,,,,,,,,,,,
Justice in Motion,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.justiceinmotion.org/family-reunification-continued-20,,,1,,,,,,,,,,,,,,,,,,,,
Justice in Motion,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.justiceinmotion.org/child-detention-crisis,,,1,,,,,,,,,,,,,,,,,,,,
Justice in Motion,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.justiceinmotion.org/visa-pages,,,1,,,,,,,,,,,,,,,,,,,,
Justice in Motion,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.justiceinmotion.org/donate,,,,1,,,,,,,,,,,,,,,,,,,
Justice in Motion,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://wgnradio.com/2019/06/25/wondering-how-to-help-kids-and-their-parents-at-the-border-this-is-how/,,,,1,,,,,,,,,,,,,,,,,,,
Justice in Motion,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.justiceinmotion.org/_files/ugd/64f95e_f14a21e2d0da49bab12e2357e4fb4553.pdf,,,,1,,,,,,,,,,,,,,,,,,,
Justice in Motion,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.justiceinmotion.org/_files/ugd/64f95e_855c7d3b341345dab75e3c409e37d786.pdf,,,,1,,,,,,,,,,,,,,,,,,,
Justice in Motion,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.justiceinmotion.org/_files/ugd/64f95e_80fb286958a44c0d86e26478ab0a7719.pdf,,,,1,,,,,,,,,,,,,,,,,,,
