Organization Name,Topic area,URL,Main Web Page,Mission Statement,Policy Isssue Resources,Campaign and Advocacy,Public Facing Advocacy Writing,Newsletters,Annual reports,Speeches,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/SWPLegalServicesChallenges.pdf,,,1,,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/SWPHumanTraffickingFS203.pdf,,,1,,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/TVPRA2003FundingRestrictions.pdf,,,1,,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/IWPR2003Morality.pdf,,,1,,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/DiagramTraffickingCase.pdf,,,1,,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/2005/20050601-human-rights-sex-workers-rights.pdf,,,1,,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/FederalTravelActFactSheet.pdf,,,1,,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/20050301TraffickingDemand.pdf,,,1,,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/20060501-SubmissionToICCPRShadowReport.pdf,,,1,,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/SWPOutreach2005FS.pdf,,,1,,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/SWPTaxesFS.pdf,,,1,,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/20071212-NYATNNYSTraffickingLawFS.pdf,,,1,,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/20071130SWPWorldAIDSDayStatement.pdf,,,1,,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/20071016SWPUVisaComments.pdf,,,1,,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/20070803CEDAWFinal.pdf,,,1,,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/working-group/downloads/20070330-BriefingPaperOnAnti-ProstitutionPledge.pdf,,,1,,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/working-group/downloads/20070330-BriefingPaperOnConflationOfTraffickingAndSexWork.pdf,,,1,,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/20080610-TVPRA-2007-FactSheet.pdf,,,1,,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/2009/20090618-swp-statement-to-senate-judiciary-committee.pdf,,,1,,,,,,
